koi_prad,koi_period,koi_steff,koi_srad,koi_depth,koi_duration,koi_model_snr,koi_disposition
2.84,47.0568476,5288.0,0.74,1531.2,5.2232,38.0,CONFIRMED
0.8,2.4826619,6356.0,1.225,37.0,2.115,10.0,FALSE POSITIVE
2.06,58.601926,6250.0,1.019,396.4,5.522,19.1,CONFIRMED
2.41,9.65349016,4723.0,0.691,1308.6,2.9029,63.1,CONFIRMED
2.0,8.01500821,5359.0,1.002,363.0,3.0137,28.6,CONFIRMED
0.74,7.09712124,3569.0,0.389,369.5,2.1059,18.3,CONFIRMED
1.21,14.6672293,5677.0,0.828,198.1,3.742,30.5,CONFIRMED
2.01,133.516435,5989.0,0.848,510.0,2.196,6.5,FALSE POSITIVE
22.9,1.157808038,5566.0,0.886,866.7,3.6705,78.8,FALSE POSITIVE
1.58,10.90752977,6414.0,1.147,186.0,2.764,11.8,CANDIDATE
9.68,2.52123022,3932.0,0.52,145.9,4.739,8.9,FALSE POSITIVE
24.49,18.13559979,6184.0,1.038,452.7,2.019,16.4,FALSE POSITIVE
2.07,2.607545159,6147.0,1.096,351.5,1.3916,23.0,CONFIRMED
0.79,3.62657392,5416.0,0.8,98.5,1.791,10.7,CANDIDATE
1.47,3.222975318,5823.0,0.96,232.7,2.9247,31.3,CONFIRMED
1.51,6.58753699,6014.0,0.993,232.1,2.043,8.2,CANDIDATE
1.39,1.287076693,3736.0,0.525,729.4,1.4942,65.2,CONFIRMED
3.33,144.688915,5372.0,1.71,397.1,9.468,11.6,CANDIDATE
0.48,1.039046871,5689.0,0.976,24.4,1.689,9.3,FALSE POSITIVE
2.66,358.818895,6056.0,0.918,666.1,2.503,11.5,CANDIDATE
23.42,1.673662758,6444.0,1.053,316.4,2.3135,33.4,FALSE POSITIVE
3.31,189.183958,5573.0,0.981,1014.0,6.829,11.2,CANDIDATE
4.48,4.030466786,5234.0,0.854,2908.3,2.7734,227.4,CONFIRMED
3.1,53.554546,6039.0,2.622,127.6,5.533,8.9,CANDIDATE
2.59,63.0380366,5798.0,1.019,658.7,7.3702,53.1,CANDIDATE
5.08,0.977170246,5596.0,3.938,151.1,3.4842,94.5,FALSE POSITIVE
368.42,13.99585365,5638.0,2.703,19681.0,5.0308,118.1,FALSE POSITIVE
2.03,286.02266,4368.0,0.637,1036.0,10.43,9.8,FALSE POSITIVE
25.95,13.33094869,5991.0,1.039,725.6,1.426,17.1,CANDIDATE
0.59,9.3281912,5525.0,0.888,45.2,3.991,13.7,CONFIRMED
1.68,86.829519,3576.0,0.463,751.0,7.464,15.1,CONFIRMED
2.64,13.57078281,5854.0,1.012,511.7,3.3539,88.4,CONFIRMED
9.36,31.1911468,4785.0,6.443,228.4,7.003,11.4,FALSE POSITIVE
2.29,10.21418792,5843.0,1.332,303.8,5.8201,78.6,CONFIRMED
2.44,6.69332825,4245.0,0.637,781.8,2.311,23.4,CANDIDATE
12.36,15.03946326,6501.0,1.441,5237.7,5.1008,181.6,FALSE POSITIVE
1.4,1.766789509,3698.0,0.444,1009.8,1.3345,26.7,CONFIRMED
2.64,29.00789166,5295.0,0.801,906.3,5.0274,44.1,CONFIRMED
1.83,11.93205399,5711.0,1.391,178.5,6.205,32.3,CONFIRMED
1.51,1.847892736,5763.0,0.842,323.3,1.8904,53.3,CONFIRMED
24.17,1.061935973,6274.0,1.062,337.9,3.3177,101.2,FALSE POSITIVE
2.24,18.42794957,4768.0,0.779,706.6,2.9264,36.0,CONFIRMED
3.11,14.5324483,5345.0,0.86,1355.9,3.13,16.5,CONFIRMED
1.02,0.56680081,5506.0,0.914,127.7,3.6116,71.5,FALSE POSITIVE
1.69,43.3975622,4871.0,0.725,585.3,3.908,8.6,CANDIDATE
0.67,4.04481159,6358.0,1.141,33.0,2.479,7.5,CANDIDATE
1.13,3.89524296,5018.0,0.838,189.0,1.689,16.2,CANDIDATE
1.85,4.77800306,5192.0,0.873,473.0,2.7361,115.4,CONFIRMED
1.13,12.9462567,6058.0,0.867,168.7,9.568,15.7,CONFIRMED
19.02,25.3239215,5128.0,0.668,1379.7,70.405,214.5,FALSE POSITIVE
2.31,26.723169,5862.0,1.67,195.0,8.501,67.5,CONFIRMED
1.2,27.765596,5897.0,0.999,147.6,19.49,14.2,FALSE POSITIVE
0.54,7.57600886,5361.0,0.774,49.0,3.361,12.5,CANDIDATE
1.19,0.986785834,4041.0,0.567,450.0,1.1879,51.5,CONFIRMED
16.68,169.330666,5106.0,7.052,532.7,2.6,9.7,CANDIDATE
2121.0,111.65546,6967.0,1.863,2887.0,1.051,7.0,FALSE POSITIVE
2.1,18.73577127,5188.0,0.795,567.2,3.0356,81.8,CONFIRMED
2.79,17.23232894,6086.0,1.216,509.8,4.5568,64.1,CONFIRMED
1.03,2.46050095,4811.0,0.634,276.8,1.861,16.7,CONFIRMED
56.52,8.144135648,7605.0,1.862,87881.0,8.88876,6113.7,FALSE POSITIVE
3.45,113.573945,5155.0,2.233,249.6,3.007,7.8,CANDIDATE
2.66,28.8431751,5151.0,0.785,756.7,3.171,15.0,CONFIRMED
2.72,10.16104834,5636.0,0.913,908.9,3.0448,36.8,FALSE POSITIVE
4.92,466.002988,5830.0,0.876,2363.6,10.278,42.3,CANDIDATE
2.95,87.0912594,5001.0,0.76,1129.1,7.0,41.8,CONFIRMED
2.0,428.379308,5574.0,0.953,386.6,4.066,7.4,CANDIDATE
1.03,546.53309,3434.0,0.36,758.0,16.04,12.3,CANDIDATE
1.33,22.9221181,5897.0,1.081,140.3,8.2,24.0,CONFIRMED
1.31,6.33125228,5383.0,0.759,306.6,2.688,16.2,CANDIDATE
3.79,15.9042402,5583.0,1.53,444.8,2.093,13.3,CANDIDATE
2.23,21.7434141,5767.0,1.497,154.8,8.143,15.8,CANDIDATE
2.37,39.7529915,6072.0,1.01,549.3,4.9641,40.9,CANDIDATE
1.43,17.3408735,5885.0,1.111,159.0,3.398,13.5,CONFIRMED
1.01,6.83440674,4498.0,0.635,177.1,2.2726,29.1,CONFIRMED
1.75,11.35010642,3597.0,0.514,1221.0,2.2792,38.3,CONFIRMED
1.79,49.1782244,5674.0,0.839,449.0,5.8,9.4,CANDIDATE
1.23,4.373570433,4362.0,0.64,366.0,0.623,14.5,CANDIDATE
1.57,2.67596808,4732.0,0.795,420.6,2.021,17.5,FALSE POSITIVE
10.44,130.17802962,6046.0,0.972,11571.0,8.4534,365.2,CONFIRMED
0.87,12.7372371,5420.0,0.868,100.8,3.358,12.9,CANDIDATE
4.75,12.720370263,6267.0,1.258,1180.1,2.7306,485.5,CONFIRMED
5.18,0.962825082,4898.0,4.928,118.1,2.8464,40.7,FALSE POSITIVE
30.48,1.027904857,5432.0,0.872,2381.2,1.6381,117.8,FALSE POSITIVE
23.38,184.52015392,5341.0,0.776,49269.0,15.3564,1759.1,FALSE POSITIVE
1.5,31.7787564,5638.0,0.928,262.0,8.093,25.9,CONFIRMED
2.01,5.931196562,3984.0,0.539,1007.4,2.4999,90.5,CONFIRMED
2.51,8.46354384,5427.0,0.887,792.2,1.4078,26.1,CANDIDATE
2.22,6.09747233,5661.0,1.522,217.6,3.431,17.4,CONFIRMED
26.96,119.8401019,4602.0,0.675,5448.7,3.6796,83.7,FALSE POSITIVE
4.17,11.67894236,6122.0,0.964,1185.1,1.2641,23.1,CANDIDATE
0.84,9.340538,4200.0,0.607,200.8,2.57,11.1,CANDIDATE
1.25,5.60402307,4847.0,0.737,224.9,1.0273,20.6,CANDIDATE
0.79,0.934181579,7624.0,2.152,12.1,3.943,19.8,FALSE POSITIVE
5.07,1.728528176,6153.0,3.279,197.6,3.682,26.2,FALSE POSITIVE
1.3,8.10904807,5185.0,0.91,217.4,3.596,14.1,CONFIRMED
2.82,4.5620407,5343.0,2.506,81.6,2.8521,22.8,CANDIDATE
1.85,31.0572947,5395.0,0.734,636.6,3.401,15.8,CONFIRMED
1.59,91.069934,9051.0,4.232,12.7,17.33,8.7,CANDIDATE
1.33,4.5770016,3805.0,0.497,710.0,0.949,18.0,CANDIDATE
44.08,11.41437505,6826.0,1.52,45966.0,6.276,34.2,FALSE POSITIVE
1.15,17.543847,5957.0,0.791,196.3,5.948,9.9,CANDIDATE
1.19,2.83668931,5831.0,0.921,166.1,3.031,12.1,CANDIDATE
1.62,32.4185265,5622.0,1.441,110.7,5.154,7.9,CANDIDATE
38.01,89.7398137,5777.0,0.747,81096.0,3.26371,296.0,FALSE POSITIVE
0.96,0.82628442,5218.0,0.829,134.9,0.9603,25.6,CANDIDATE
124.42,0.66882716,3711.0,150.091,68.2,1.069,6.2,CANDIDATE
90.57,6.932281325,8675.0,2.168,6405.9,11.0301,325.8,FALSE POSITIVE
1.85,392.72811,5701.0,0.815,499.7,12.48,12.0,FALSE POSITIVE
60.74,5.115750935,6398.0,1.101,1055.8,2.5378,51.8,CANDIDATE
1.29,11.56722589,4597.0,0.691,373.7,2.507,11.5,CANDIDATE
1.03,12.5748872,3552.0,0.387,731.0,3.549,7.8,CANDIDATE
1.03,546.53309,3434.0,0.36,758.0,16.04,12.3,CANDIDATE
44.7,42.39930429,6153.0,0.962,205990.0,18.3609,2261.9,FALSE POSITIVE
58.37,43.9311596,4888.0,5.132,9304.4,12.9395,1070.3,CANDIDATE
0.81,3.39904814,5766.0,0.929,69.6,2.922,8.1,CANDIDATE
1.57,0.572937573,7338.0,1.593,80.8,2.576,32.0,CANDIDATE
18.05,4.437962934,5953.0,1.415,16388.0,4.69813,3535.6,CONFIRMED
0.62,5.06546874,3939.0,0.557,121.1,2.203,10.4,CANDIDATE
33.14,4.252082243,5802.0,0.794,8290.5,2.7543,254.8,FALSE POSITIVE
2.94,50.271927,6520.0,1.215,574.5,6.073,9.3,CANDIDATE
2.07,54.2811949,6170.0,1.499,147.8,5.517,20.0,CONFIRMED
1.46,0.912351255,5481.0,1.036,111.8,1.072,9.1,CANDIDATE
20.71,18.060078203,5330.0,0.855,58975.0,11.5759,1797.6,FALSE POSITIVE
1.96,103.284757,6185.0,2.101,78.4,1.674,5.5,FALSE POSITIVE
15.38,0.708563091,5271.0,0.648,414.5,6.347,90.8,FALSE POSITIVE
1.32,9.91937693,5688.0,0.971,186.7,4.326,18.8,CONFIRMED
1.24,8.874603,6517.0,1.278,93.3,2.88,5.4,FALSE POSITIVE
1.85,57.7749373,6277.0,1.097,283.6,4.731,10.4,CANDIDATE
0.91,1.907810683,5435.0,0.824,120.5,1.8707,40.9,CONFIRMED
4.45,1.902208647,5400.0,0.937,2343.5,2.19877,363.2,CONFIRMED
0.57,0.566801447,5966.0,1.349,16.2,2.352,13.8,FALSE POSITIVE
0.99,2.64622742,5167.0,0.787,155.5,1.407,8.4,CANDIDATE
1.57,100.345648,5180.0,0.8,372.3,7.939,15.2,CANDIDATE
2.25,7.953547,4768.0,0.779,875.4,2.6312,38.4,CONFIRMED
7.15,493.74242,5015.0,3.243,506.1,5.685,12.4,CANDIDATE
1.61,1.245331397,6106.0,2.477,38.1,2.566,26.5,FALSE POSITIVE
2.39,67.8321638,5839.0,1.067,507.8,7.358,15.5,CONFIRMED
39.08,1.718649321,6071.0,0.865,190570.0,3.94095,833.4,FALSE POSITIVE
2.2,66.716453,5447.0,0.859,626.0,3.855,8.1,CANDIDATE
64.69,2.897436854,5780.0,1.0,289810.0,3.2833,274.2,FALSE POSITIVE
2.76,23.67513153,5309.0,0.781,980.4,4.647,32.6,CONFIRMED
0.65,8.2942929,5843.0,1.084,36.8,3.976,10.1,CANDIDATE
0.93,4.37198905,5823.0,0.919,103.7,2.177,9.9,CANDIDATE
1.98,10.10773789,5480.0,1.174,294.9,3.828,25.3,CONFIRMED
0.81,7.84931877,5678.0,0.99,68.2,3.747,12.6,CONFIRMED
12.42,19.651209505,6074.0,1.063,11766.0,5.2514,513.4,FALSE POSITIVE
10.99,200.2350497,6108.0,0.997,10812.0,23.612,220.6,CANDIDATE
0.9,13.9248005,5271.0,0.648,195.2,5.016,11.2,CANDIDATE
7.19,8.98128472,5977.0,1.022,4924.0,5.0397,76.6,CANDIDATE
